author,year,title,container,publisher,doi,url,File,ID
Jones; P.W.,1986,Sewage sludge as a vector of salmonellosis,Epidemiological studies of risks associated with the agricultural use of sewage sludge Knowledge and needs,Elsevier,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,563
"c(""Keskinen"", ""Annous""); c(""L.A."", ""B.A."")",2011,Efficacy of adding detergents to sanitizer solutions for inactivation of Escherichia coli O157:H7 on Romaine lettuce,International Journal of Food Microbiology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,564
Komancheck; W.,2013,"Lancaster Farmland Trust: Celebrating 25 years and 100,000 acres of preserved farmland",The Journal of Northeast Agriculture Farming,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,565
,,,,,,http://www.farmingmagazine.com/article,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,566
"c(""Kroupitski"", ""Pinto"", ""Belausov"", ""Sela""); c(""Y."", ""R."", ""E."", ""S."")",2011,Distribution of Salmonella typhimurium in romaine lettuce leaves,Food Microbiology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,567
"c(""Kudva"", ""Blanch"", ""Hovde""); c(""I.T."", ""K."", ""C.J."")",1998,Analysis of Escherichia coli O157:H7 survival in ovine or bovine manure and manure slurry,Applied and Environmental Microbiology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,568
"c(""Lau"", ""Ingham""); c(""M.M."", ""S.C."")",2001,Survival of fecal indicator bacteria in bovine manure incorporated into soil,Lett Appl Microbiol,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,569
Lazarovits; G.,2001,Management of soil-borne plant pathogens with organic soil amendments: A disease control strategy salvaged from the past,Can J Plant Pathol,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,570
"c(""Leifert"", ""Ball"", ""Volakakis"", ""Cooper""); c(""C."", ""K."", ""N."", ""J."")",2008,Control of enteric pathogens in ready-to-eat vegetable crops in organic and 'low input' production systems: A HACCP-based approach,Journal of Applied Microbiology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,571
"c(""LeJeune"", ""Besser"", ""Hancock""); c(""J.T."", ""T.E."", ""D.D."")",2001,Cattle water troughs as reservoirs of Escherichia coli O157,Applied and Environmental Microbiology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,572
"c(""Lewis Ivey"", ""Miller""); c(""M.L.Xu"", ""S.A."")",2014,Leveraging management strategies for seedborne plant diseases to reduce Salmonella enterica serovar Typhimurium incidence on tomato seed and seedlings,Journal of Food Protection,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,573
"c(""Li"", ""Y""); c(""X."", ""Feng"")",2002,Carbon sequestration potentials in agricultural soils,,Alberta Research Council,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,574
"c(""Lopez-Velasco"", ""Davis"", ""Boyer"", ""Williams"", ""Ponder""); c(""G."", ""M."", ""R.R."", ""R.C."", ""M.A."")",2010,Alterations of the phylloepiphytic bacterial community associated with interactions of Escherichia coli O157:H7 during storage of packaged spinach at refrigeration temperatures,Food Microbiology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,575
"c(""Lowell"", ""Langholz"", ""Stuart""); c(""K."", ""J."", ""D."")",2010,Safe and sustainable: Co-managing for food safety and ecological health in California^a??s Central Coast Region,,The Nature Conservancy of California and the Georgetown University Produce Safety Project,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,576
Maczulak; A.,2011,Allies and enemies: How the world depends on bacteria,,FT Press,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,577
Es; H.M.; van,2009,Building Soils for Better Crops: Sustainable Soil Management,Handbook Series Book 10 Sustainable Agric,Research and Education,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,578
Maule; A.,1999,Environmental aspects of E. coli 0157,Intern Food Hygiene,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,579
Mazzotta; A.S.,2001,Heat resistance of Listeria monocytogenes in vegetables: Evaluation of blanching process,Journal of Food Protection,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,580
M.B.T.A.,1918,Migratory Bird Treaty Act of,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,581
"c(""McElhany"", ""Pillai""); c(""K.G."", ""S.D."")",2011,Prevalence and fate of gut-associated human Final Environmental Impact Statement pathogens in the environment,The fecal bacteria,American Society for Microbiology ASM,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,582
"c(""McKellar"", ""Delaquis""); c(""R.C."", ""P."")",2011,Development of a dynamic growth^a??death model for Escherichia coli O157:H7 in minimally processed leafy green vegetables,International Journal of Food Microbiology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,583
"c(""McSwane"", ""Rue"", ""Linton""); c(""D."", ""N."", ""R."")",1998,Essentials of food safety & sanitation,,Prentice Hall,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,584
,"2012, 2012",Emerging issues in animal agriculture: Manure effects on soil organisms and soil quality by E,,Michigan State University Extension,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,585
MidwestBioSystems,2012,Composting dairy waste eases restrictive nutrient management program,,,,http://blog.midwestbiosystems.com/blog/bid/254812/Composting-Dairy-Waste,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,586
Millner; P.D.,2014,Manure management,The produce contamination problem Causes and solutions,Elsevier,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,587
Mitra; R.,2009,"Effect of route of introduction and host cultivar on the colonization, internalization, and movement of the human pathogen Escherichia coli O157:H7 in spinach",Journal of Food Protection,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,588
"c(""Moulton-Hancock"", ""Rose"", ""Vasconcelos"", ""Harris"", ""Klonicki"", ""Sturbaum""); c(""C."", ""J.B."", ""G.L."", ""S.I."", ""P.T."", ""G.D."")",2000,Giardia and Cryptosporidium occurrence in groundwater: Analysis of groundwater for the presence of microbiota offers researchers a way to estimate the potential for Giardia and Cryptosporidium contamination,,JournalAmerican Water Works Association,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,589
"c(""Moyne"", ""Sudarshana"", ""Blessington"", ""Koike"", ""Cahn""); c(""A."", ""M.R."", ""T."", ""S.T."", ""M.D."")",2011,Fate of Escherichia coli O157:h7 in field-innoculated lettuce,,Food Microbiology,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,590
N.A.C.M.C.F.,2011,National Advisory Committee on Microbiological Criteria for Foods,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,591
Council; National Research,1991,Mitigating losses from land subsidence in the United States,,National Academy Press,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,592
N.H.P.A.,,,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,593
N.A.T.T.W.G.,"2008, 2008",Commodity specific food safety guidelines for the fresh tomato supply chain,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,594
J.; Giessen; van der,"1969, 2010",Food-borne diseases ^a?? The challenges of 20 years ago still persist while new ones continue to emerge,International Journal of Food Microbiology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,595
"c(""Nielsen"", ""Skov"", ""Madsen"", ""Lodal"", ""Brochner Jespersen"", ""Baggesen""); c(""E.M."", ""M.N."", ""J.J."", ""J."", ""J."", ""D.L."")",2004,Verocytotoxin-producing Escherichia coli in wild birds and rodents in close proximity to farms,Applied and Environmental Microbiology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,596
"c(""Niemira"", ""Zhang""); c(""B.A."", ""H.Q."")",2014,Advanced technologies for detection and elimination of bacterial pathogens,The produce contamination problem Causes and solutions,Elsevier,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,597
"c(""Nithya"", ""Gothandam"", ""Babu""); c(""A."", ""K.M."", ""S."")",2014,Alternative ecology of human pathogenic bacteria in fruits and vegetables,Plant Pathology Journal,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,598
Service; N.P.S.) National Park,2014,Cultural Resources,,,,http://www.nps.gov/acad/parkmgmt/rm_culturalresources.htm,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,599
Extension); O.S.U.,2015,Ohio State University Extension,,,,http://ohioline.osu.edu/agf-fact/0208.html,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,600
"c(""Pachepsky"", ""Sadeghi"", ""Bradford"", ""Shelton"", ""Guber"", ""Dao""); c(""Y.A."", ""A.M."", ""S.A."", ""D.R."", ""A.K."", ""T."")",2006,Transport and fate of manure-borne pathogens: Modeling Perspective,Agricultural Water Management,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,601
"c(""Pachepsky"", ""Shelton"", ""McLain"", ""Patel"", ""Mandrell""); c(""Y."", ""D.R."", ""J.E.T."", ""J."", ""R.E."")",2011,Irrigation waters as a source of pathogenic microorganisms in produce: A review,Advances in Agronomy,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,602
"c(""Painter"", ""Hoekstra"", ""Ayers"", ""Tauxe"", ""Braden"", ""Angulo"", ""Griffin""); c(""J.A."", ""R.M."", ""T."", ""R.V."", ""C.R."", ""F.J."", ""P.M."")",2013,"Attribution of foodborne illnesses, hospitalizations, and Final Environmental Impact Statement deaths to food commodities by using outbreak data, United States, 1998-2008",Emerging Infectious Diseases,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,603
"c(""Park"", ""Navratil"", ""Gregory"", ""Bauer"", ""Srinath"", ""Jun"", ""Szonyi"", ""Nightingale"", ""Anciso"", ""Ivanek""); c(""S."", ""S."", ""A."", ""A."", ""I."", ""M."", ""B."", ""K."", ""J."", ""R."")",2013,Generic Escherichia coli contamination of spinach at the preharvest stage: Effects of farm management and environmental factors,Applied Environ Microbiology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,604
Pell; A.N.,1997,Manure and microbes: Public and animal health problems?,Journal of Dairy Science,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,605
State; Penn,2008,"Penn State University, College of Agricultural Sciences",,Mushroom Substrate Preparation OdorManagement Plan,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,606
,2010,Mushrooms Good Agricultural Practices Program: Industry-Wide Food Safety Standards for Fresh Mushroom Growing,Harvesting and Shipping,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,607
"c(""P~A(c)rez Rodr~A-guez"", ""Campos"", ""Ryser"", ""Buchholz"", ""Posada-Izquierdo"", ""Marks"", ""Zurera"", ""Todd""); c(""F."", ""D."", ""E.T."", ""A.L."", ""G.D."", ""B.P."", ""G."", ""E."")",2010,A mathematical risk model for Escherichia coli O157:H7 cross-contamination of lettuce during processing,Food Microbiology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,608
"c(""Posada-Izquierdo"", ""P~A(c)rez-Rodr~A-guez"", ""L~A^3pez-G~A!lvez"", ""Allende"", ""Selma"", ""Gil"", ""G""); c(""G.D."", ""F."", ""F."", ""A."", ""M.V."", ""M.I."", ""Zurera"")",2013,Modelling growth of Escherichia coli O157:H7 in fresh-cut lettuce submitted to commercial process conditions: Chlorine washing and modified atmosphere packaging,Food Microbiology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,609
University; Purdue,2014,Indiana Soils: Evaluation and Conservation: Online Manual,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,610
"c(""Qu"", ""Luo"", ""Taylor"", ""Lin"", ""Huang"", ""Anyadike"", ""Tzeng"", ""Stutzenberger"", ""Latour"", ""Sun""); c(""L."", ""P.G."", ""S."", ""Y."", ""W."", ""N."", ""T.R."", ""F."", ""R.A."", ""Y.P."")",2005,Visualizing adhesioninduced agglutination of Escherichia coli with mannosylated nanoparticles,Journal of Nanoscience and Nanotechnology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,611
"c(""Rangarajan"", ""Bihn"", ""Gravani"", ""Scott"", ""Pritts""); c(""A."", ""E.A."", ""R.B."", ""D.L."", ""M.P."")",2000,"Food safety begins on the farm: A grower's guide, Good agricultural practices for fresh fruits and vegetables",,Cornell University Good Agricultural Practices Program,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,612
R.C.D.,"2007, 2007",,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,613
"c(""Renter"", ""Sargeant""); c(""D.G."", ""J.M."")",2002,Enterohemorrhagic Escherichia coli,,,,O157:H7,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,614
"c(""Reynolds"", ""Mena"", ""Gerba""); c(""K.A."", ""K.D."", ""C.P."")",2008,Risk of waterborne illness via drinking water in the United States,Reviews of Environmental Contamination and Toxicology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,615
Roberson; E.,"1996, 1996",Impacts of Livestock Grazing on Soils and Recommendations for Management,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,616
"c(""Rowell"", ""Hadad""); c(""B."", ""R."")",2014,Organic manures and fertilizers for vegetable crops,,,,http://www.uky.edu/hort/node/424,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,617
"c(""Sadowsky"", ""Whitman""); c(""M.J."", ""R.L."")",2011,The Fecal Bacteria,,American Society for Microbiology,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,618
Sapers; G.M.,2014,Disinfection of contaminated produce with conventional washing and sanitizing technology,The produce contamination problem Causes and solutions,Elsevier,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,619
"c(""Sapers"", ""Doyle""); c(""G.M."", ""M.P."")",2014,Scope of the produce contamination problem,The produce contamination problem Causes and solutions,Elsevier,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,620
"c(""Scallan"", ""Hoekstra"", ""Angulo"", ""Tauxe"", ""Widdowson"", ""Roy"", ""Jones"", ""Griffin""); c(""E."", ""R.M."", ""F.J."", ""R.V."", ""M.A."", ""S.L."", ""J.L."", ""P.M."")",2011,Foodborne illness acquired in the United States - Major Pathogens,Emerging Infectious Diseases,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,621
"c(""Scheierling"", ""Young"", ""Cardon""); c(""S.M."", ""R.A."", ""G.E."")",2004,Can farm irrigation technology subsidies affect real water conservation?,Paper,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,622
"c(""Schlech"", ""Lavigne"", ""Bortolussi"", ""Allen"", ""Haldane"", ""Wort"", ""Hightower"", ""Johnson"", ""King"", ""Nicholls"", ""Broome""); c(""W.F."", ""P.M."", ""R.A."", ""A.C."", ""E.V."", ""A.J."", ""A.W."", ""S.E."", ""S.H."", ""E.S."", ""C.V."")",1983,Epidemic listeriosis^a??evidence for transmission by food,New England Journal of Medicine,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,623
"c(""Schoenau"", ""Bolton"", ""Panchuk""); c(""J.J."", ""K."", ""K."")","2006, 2006, 2014",Managing manure as a fertilizer,Reviewed by the Saskatchewan Advisory Subcouncil on Soil Fertility and the Saskatchewan Manure Management Working Group,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,624
S.D.W.A.,,,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,625
"c(""S."", ""Burke"", ""Faures"", ""Frenken"", ""Hoogeveen"", ""Doll"", ""Portmann""); c(""Siebert"", ""J."", ""J.M."", ""K."", ""J."", ""P."", ""F.T."")",2010,Groundwater use for irrigation ^a?? a global inventory,Hydrology and Earth System Sciences,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,626
Sims; J.T.,1997,Agricultural and Environmental Issues in the Management of Poultry Wastes: Recent Innovations and Long-term Challenges,Agricultural Uses of ByProducts and Wastes,American Chemical Society,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,627
"c(""Sivapalasingam"", ""Friedman"", ""Cohen"", ""Tauxe""); c(""S."", ""C.R."", ""L."", ""R.V."")",2004,"Fresh produce: A growing cause of outbreaks of foodborne illness in the United States, 1973 through 1997",Journal of Food Protection,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,628
"c(""Solomon"", ""Matthews""); c(""E.B."", ""K.R."")",2006,Interaction of live and dead Escherichia coli O157:H7 and fluorescent microspheres with lettuce tissue suggests bacterial processes do not mediate adherence,Letters in Applied Microbiology,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,629
S.S.S.A.,2010,Why is soil important?,,,,http://www.envirothon.org/pdf/CG/Why_Soil_is_Important.pdf,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,630
Sullivan; P.,"2003, 2003",Overview of cover crops and green manures: Fundamentals of sustainable agriculture,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,631
"c(""Techathuvanan"", ""Reyes"", ""David"", ""Davidson""); c(""C."", ""F."", ""J.R.D."", ""P.M."")",2014,Efficacy of commercial natural antimicrobials alone and in combinations against pathogenic and spoilage microorganisms,Journal of Food Protection,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,632
House; The White,2009,,,,,http://www.whitehouse.gov/the-press,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,633
Todd; D.K.,1980,Groundwater hydrology,,John Wiley and Sons,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,634
"c(""Todd"", ""Greig"", ""Bartleson"", ""Michaels""); c(""E.C.D."", ""J.D."", ""C.A."", ""B.S."")",2007,Outbreaks where food workers have been implicated in the spread of foodborne disease,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,635
,,Factors contributing to outbreaks and description of outbreak categories,Journal of Food Protection,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,636
Association; United Fresh Produce,2014,Produce GAPs Harmonization Initiative,,,,http://www.unitedfresh.org/newsviews/gap_harmonization,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,637
U.S; U.S.D.A.A.M.S.),,,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,638
-,"2013, 2013",What are food hubs and why do they matter?,by J Barham,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,639
-,"2012, 2012",Moving food along the value chain: Innovations in regional food distribution by A,Diamond and J Barham,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,640
-,2006,Good Agricultural Practices & Good Handling Practices (GAPs&GHPs) Program Brochure,,USDA ARS US Department of Agriculture Agricultural Research Service,,https://agriculture.sc.gov/UserFiles/file/GAPGHP%20Brochure.pd,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,641
-,2014,Huanglongbing (Citrus Greening): What ARS is Doing,,,,http://www.ars.usda.gov/citrusgreening/,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,642
-,"2013, 2013",Growth Patterns in the U.S,Organic Industry,,,http://www.ers.usda.gov/amber-waves/2013-october/growth-patterns-in-the-us,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,643
character(0); character(0); character(0),"2005, 2005",Managing manure to improve air and water quality (ERR-9) by M,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,644
-,1994,Agricultural Resources and Environmental Indicators,Agricultural Handbook,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,645
,2012,Census of Agriculture,,United States Summary and State Data,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,646
,2012,,,Issued May,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,647
-,"2014, 2014",Crop Values 2013 Summary,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,648
,2012,Census of Agriculture,,Puerto Rico Island and Municipio Data,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,649
-,"2011, 2008, 2011","Census of Agriculture, American Samoa",,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,650
-,"2010, 2008",,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,651
,2010,"Special Studies, Part 2",Issued February,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,652
,"2007, 2009","Census of Agriculture, Guam Island Data",,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150332_FEIS_-_Full_Document_Produce_Safety.json,653
